id;start_date;end_date;language
1;2022-04-13T13:06:13;2022-04-13T10:56:28;ENGLISH
2;2022-04-12T22:33:48;2022-04-13T07:59:17;FRENCH
3;2022-04-13T08:30:00;2022-04-12T20:35:08;SPANISH
4;2022-04-13T13:00:49;2022-04-12T18:27:08;FRENCH
5;2022-04-13T15:17:12;2022-04-12T23:36:10;ENGLISH
6;2022-04-13T00:47:55;2022-04-13T14:48:15;SPANISH
7;2022-04-13T08:51:43;2022-04-12T19:25:52;FRENCH
8;2022-04-12T23:17:36;2022-04-12T19:53:25;FRENCH
9;2022-04-13T00:09:14;2022-04-13T11:40:40;FRENCH
10;2022-04-12T20:06:12;2022-04-13T13:03:41;FRENCH
